Week,30 yr FRM,Year
4/2/1971,7.33,1971
4/9/1971,7.31,1971
4/16/1971,7.31,1971
4/23/1971,7.31,1971
4/30/1971,7.29,1971
5/7/1971,7.38,1971
5/14/1971,7.42,1971
5/21/1971,7.44,1971
5/28/1971,7.46,1971
6/4/1971,7.52,1971
6/11/1971,7.52,1971
6/18/1971,7.54,1971
6/25/1971,7.54,1971
7/2/1971,7.54,1971
7/9/1971,7.54,1971
7/16/1971,7.60,1971
7/23/1971,7.65,1971
7/30/1971,7.69,1971
8/6/1971,7.66,1971
8/13/1971,7.73,1971
8/20/1971,7.71,1971
8/27/1971,7.69,1971
9/3/1971,7.71,1971
9/10/1971,7.67,1971
9/17/1971,7.70,1971
9/24/1971,7.67,1971
10/1/1971,7.67,1971
10/8/1971,7.63,1971
10/15/1971,7.63,1971
10/22/1971,7.58,1971
10/29/1971,7.63,1971
11/5/1971,7.59,1971
11/12/1971,7.56,1971
11/19/1971,7.54,1971
11/26/1971,7.51,1971
12/3/1971,7.49,1971
12/10/1971,7.47,1971
12/17/1971,7.48,1971
12/24/1971,7.48,1971
12/31/1971,7.48,1971
1/7/1972,7.46,1972
1/14/1972,7.46,1972
1/21/1972,7.43,1972
1/28/1972,7.40,1972
2/4/1972,7.35,1972
2/11/1972,7.33,1972
2/18/1972,7.31,1972
2/25/1972,7.31,1972
3/3/1972,7.32,1972
3/10/1972,7.32,1972
3/17/1972,7.31,1972
3/24/1972,7.31,1972
3/31/1972,7.23,1972
4/7/1972,7.25,1972
4/14/1972,7.29,1972
4/21/1972,7.29,1972
4/28/1972,7.33,1972
5/5/1972,7.33,1972
5/12/1972,7.38,1972
5/19/1972,7.38,1972
5/26/1972,7.40,1972
6/2/1972,7.36,1972
6/9/1972,7.38,1972
6/16/1972,7.38,1972
6/23/1972,7.36,1972
6/30/1972,7.38,1972
7/7/1972,7.38,1972
7/14/1972,7.40,1972
7/21/1972,7.40,1972
7/28/1972,7.40,1972
8/4/1972,7.35,1972
8/11/1972,7.41,1972
8/18/1972,7.42,1972
8/25/1972,7.42,1972
9/1/1972,7.42,1972
9/8/1972,7.42,1972
9/15/1972,7.42,1972
9/22/1972,7.41,1972
9/29/1972,7.43,1972
10/6/1972,7.41,1972
10/13/1972,7.41,1972
10/20/1972,7.44,1972
10/27/1972,7.42,1972
11/3/1972,7.43,1972
11/10/1972,7.42,1972
11/17/1972,7.42,1972
11/24/1972,7.44,1972
12/1/1972,7.45,1972
12/8/1972,7.43,1972
12/15/1972,7.43,1972
12/22/1972,7.45,1972
12/29/1972,7.45,1972
1/5/1973,7.44,1973
1/12/1973,7.44,1973
1/19/1973,7.44,1973
1/26/1973,7.43,1973
2/2/1973,7.43,1973
2/9/1973,7.43,1973
2/16/1973,7.45,1973
2/23/1973,7.45,1973
3/2/1973,7.45,1973
3/9/1973,7.45,1973
3/16/1973,7.45,1973
3/23/1973,7.45,1973
3/30/1973,7.49,1973
4/6/1973,7.51,1973
4/13/1973,7.54,1973
4/20/1973,7.56,1973
4/27/1973,7.56,1973
5/4/1973,7.58,1973
5/11/1973,7.64,1973
5/18/1973,7.69,1973
5/24/1973,7.70,1973
6/1/1973,7.70,1973
6/8/1973,7.73,1973
6/15/1973,7.73,1973
6/22/1973,7.75,1973
6/29/1973,7.76,1973
7/6/1973,7.89,1973
7/13/1973,8.01,1973
7/20/1973,8.12,1973
7/27/1973,8.18,1973
8/3/1973,8.26,1973
8/10/1973,8.40,1973
8/17/1973,8.55,1973
8/24/1973,8.61,1973
8/31/1973,8.66,1973
9/7/1973,8.77,1973
9/14/1973,8.81,1973
9/21/1973,8.83,1973
9/28/1973,8.85,1973
10/5/1973,8.82,1973
10/12/1973,8.83,1973
10/19/1973,8.75,1973
10/26/1973,8.68,1973
11/2/1973,8.62,1973
11/9/1973,8.59,1973
11/16/1973,8.58,1973
11/23/1973,8.57,1973
11/30/1973,8.55,1973
12/7/1973,8.53,1973
12/14/1973,8.53,1973
12/21/1973,8.53,1973
12/28/1973,8.56,1973
1/4/1974,8.56,1974
1/11/1974,8.53,1974
1/18/1974,8.55,1974
1/25/1974,8.52,1974
2/1/1974,8.48,1974
2/8/1974,8.46,1974
2/15/1974,8.46,1974
2/22/1974,8.42,1974
3/1/1974,8.41,1974
3/8/1974,8.41,1974
3/15/1974,8.40,1974
3/22/1974,8.40,1974
3/29/1974,8.41,1974
4/5/1974,8.44,1974
4/12/1974,8.53,1974
4/19/1974,8.63,1974
4/26/1974,8.73,1974
5/3/1974,8.87,1974
5/10/1974,8.98,1974
5/17/1974,8.97,1974
5/24/1974,9.01,1974
5/31/1974,9.03,1974
6/7/1974,9.06,1974
6/14/1974,9.11,1974
6/21/1974,9.07,1974
6/28/1974,9.10,1974
7/5/1974,9.14,1974
7/12/1974,9.19,1974
7/19/1974,9.37,1974
7/26/1974,9.42,1974
8/2/1974,9.47,1974
8/9/1974,9.50,1974
8/16/1974,9.60,1974
8/23/1974,9.62,1974
8/30/1974,9.74,1974
9/6/1974,9.88,1974
9/13/1974,9.92,1974
9/20/1974,10.00,1974
9/27/1974,10.03,1974
10/4/1974,10.02,1974
10/11/1974,9.96,1974
10/18/1974,9.99,1974
10/25/1974,9.94,1974
11/1/1974,9.87,1974
11/8/1974,9.81,1974
11/15/1974,9.81,1974
11/22/1974,9.73,1974
11/29/1974,9.72,1974
12/6/1974,9.69,1974
12/13/1974,9.63,1974
12/20/1974,9.58,1974
12/27/1974,9.56,1974
1/3/1975,9.60,1975
1/10/1975,9.49,1975
1/17/1975,9.43,1975
1/24/1975,9.35,1975
1/31/1975,9.29,1975
2/7/1975,9.20,1975
2/14/1975,9.13,1975
2/21/1975,9.07,1975
2/28/1975,9.02,1975
3/7/1975,9.00,1975
3/14/1975,8.89,1975
3/21/1975,8.86,1975
3/28/1975,8.86,1975
4/4/1975,8.83,1975
4/11/1975,8.81,1975
4/18/1975,8.80,1975
4/25/1975,8.84,1975
5/2/1975,8.92,1975
5/9/1975,8.88,1975
5/16/1975,8.92,1975
5/23/1975,8.92,1975
5/30/1975,8.89,1975
6/6/1975,8.89,1975
6/13/1975,8.90,1975
6/20/1975,8.88,1975
6/27/1975,8.90,1975
7/3/1975,8.88,1975
7/11/1975,8.90,1975
7/18/1975,8.89,1975
7/25/1975,8.89,1975
8/1/1975,8.89,1975
8/8/1975,8.89,1975
